List of ingredients,Recipe Name,Time Required (minutes),Style,Recipe (How to Make),Protein (g),Carbohydrates (g),Fats (g),Sides
"Zucchini, Tomatoes, Onion, Spices",Zucchini Masala,30,North Indian,"Heat oil in a pan and saute finely chopped onions until golden brown. Add chopped tomatoes and cook until they turn soft and mushy. Now, add the available spices like turmeric, red chili powder, and salt, stirring well to blend the flavors. Then, add chopped zucchini and mix everything thoroughly. Cook on medium heat for a few minutes, stirring occasionally. Cover and let it simmer on low heat for about 10-12 minutes until the zucchini becomes tender and absorbs the masala. Once done, give it a final stir and serve hot with rice or roti for a delicious and healthy meal.",19.7,37,14,Vanilla Ice Cream
"Zucchini, Tomatoes, Onion, Spices",Spicy Zucchini Fry,25,South Indian,"Begin by washing and chopping the zucchini, tomato, and onion into small pieces. Heat some oil in a pan, and add mustard seeds, cumin seeds, and curry leaves for tempering. Once they splutter, add the chopped onions and saute until they turn golden brown. Next, add the chopped tomatoes and cook until they soften. Sprinkle in spices like red chili powder, turmeric, garam masala, and salt to taste, and stir well. Add the chopped zucchini to the pan, mix everything together, and cook for about 10-12 minutes on medium heat, allowing the zucchini to become tender and absorb the spices. Garnish with fresh coriander leaves and serve hot as a side dish.",16.4,15,10,Vanilla Ice Cream
"Lamb, Yogurt, Ginger, Garlic, Spices",Lamb Yakhni,80,Kashmiri," Start by marinating the lamb pieces with yogurt, ginger-garlic paste, and some of the spices, such as garam masala, turmeric, and red chili powder. Let the lamb marinate for at least 30 minutes to allow the flavors to infuse. In a large pot, heat some oil and add whole spices like cinnamon, cardamom, cloves, and bay leaves. Once they release their aroma, add chopped onions and saute until they turn golden brown. Add the marinated lamb and cook it for a few minutes until the lamb browns slightly. Pour in water or stock, bring it to a boil, and then simmer on low heat for 1-1.5 hours until the lamb becomes tender and the broth thickens. Season with salt to taste and garnish with fresh coriander leaves before serving. This dish pairs well with rice or naa",13.1,27,5,Milkshake
"Lamb, Yogurt, Ginger, Garlic, Spices",Spicy Lamb Korma,75,Mughlai," Start by marinating the lamb pieces with yogurt, ginger-garlic paste, red chili powder, turmeric, and garam masala for about 30 minutes. In a large pan, heat some oil and add whole spices like cinnamon, cardamom, cloves, and bay leaves. Once they release their fragrance, add finely chopped onions and saute until golden brown. Add the marinated lamb to the pan and cook for a few minutes until it browns. Then, add a bit of water or stock and cook the lamb for 45 minutes to 1 hour, until tender. Once the lamb is cooked, stir in ground cashews or almonds for creaminess, and let it simmer until the gravy thickens. Adjust salt and spice levels to taste, and garnish with fresh coriander leaves before serving. Enjoy it with rice or naan.",5.5,17,6,Sweet Lassi
"Pumpkin, Lentils, Tomatoes, Spices",Pumpkin Lentil Curry,40,South Indian,"Start by washing and peeling the pumpkin, then cutting it into cubes. In a pot, heat some oil and add mustard seeds, cumin seeds, and dried red chilies for tempering. Once they splutter, add finely chopped onions and saute until they become golden. Add ginger-garlic paste, followed by chopped tomatoes, and cook until the tomatoes soften. Now, add turmeric, red chili powder, coriander powder, and salt, and stir to combine. Add the washed lentils and pumpkin cubes to the pot, and mix well. Pour in water and bring it to a boil. Reduce the heat, cover, and let it simmer for about 20-25 minutes or until the pumpkin and lentils are tender and the curry has thickened. Garnish with fresh coriander leaves and serve hot with rice or bread.",8.6,36,14,Mango Lassi
"Pumpkin, Lentils, Tomatoes, Spices",Spicy Pumpkin Dal Fry,35,Bengali,"Start by peeling and chopping the pumpkin into small cubes. In a pressure cooker, heat some oil and add mustard seeds, cumin seeds, and dried red chilies for tempering. Once they splutter, add finely chopped onions and saute until golden. Then, add ginger-garlic paste, followed by chopped tomatoes, and cook until soft. Sprinkle in turmeric, red chili powder, coriander powder, and salt, and mix well. Add the washed lentils to the pot and cook for 2-3 minutes. Now, add the chopped pumpkin and enough water to cover the ingredients, and pressure cook for about 3-4 whistles. Once the pressure releases, check the consistency and adjust the seasoning if needed. Garnish with fresh coriander leaves and serve hot with rice or roti.",19.6,18,14,Mango Lassi
"Mushrooms, Coconut Milk, Spices",Mushroom Coconut Curry,40,Kerala,"Start by cleaning and slicing the mushrooms. In a pan, heat some oil and add whole spices like cinnamon, cardamom, and cloves for tempering. Once they release their aroma, add finely chopped onions and saute until golden brown. Add ginger-garlic paste and cook for a minute before adding chopped tomatoes. Cook until the tomatoes soften. Now, add ground spices such as turmeric, red chili powder, coriander powder, and salt, and mix well. Add the sliced mushrooms to the pan and saute for a few minutes. Once the mushrooms release their moisture, pour in the coconut milk, stir, and bring it to a simmer. Cook for about 10-12 minutes until the curry thickens and the mushrooms are tender. Garnish with fresh coriander leaves and serve with rice or bread.",10.4,38,9,Gulab Jamun
"Mushrooms, Coconut Milk, Spices",Spicy Mushroom Masala,35,South Indian,"Begin by cleaning and slicing the mushrooms. In a pan, heat some oil and add whole spices like cumin seeds, cinnamon, and bay leaves. Once they splutter, add finely chopped onions and saute until golden brown. Then, add ginger-garlic paste and cook for a minute before adding chopped tomatoes. Cook the tomatoes until they soften. Sprinkle in spices like red chili powder, turmeric, garam masala, and salt, and mix well. Add the sliced mushrooms and saute for 5-6 minutes until they release their moisture and absorb the spices. Pour in coconut milk and stir to combine. Let the curry simmer for 10-12 minutes until it thickens and the mushrooms are tender. Garnish with fresh coriander leaves and serve hot with rice or naan.",6.6,33,12,Mango Lassi
"Prawns, Garlic, Chili, Spices",Garlic Chili Prawn Curry,30,Indo-Chinese,"Marinate cleaned prawns with turmeric, salt, and lemon juice. Heat oil, saute garlic, onions, green chilies, and curry leaves. Add tomatoes and cook until soft. Mix in chili powder, turmeric, coriander, and garam masala. Pour water or coconut milk for gravy. Add prawns, cook until pink and tender. Finish with lemon juice and coriander.",23.7,31,13,Sweet Lassi
"Prawns, Garlic, Chili, Spices",Spicy Garlic Prawn Fry,25,Goan,"Start by cleaning and deveining the prawns. In a bowl, marinate the prawns with salt, turmeric, and a bit of red chili powder for about 15-20 minutes. Heat oil in a pan and add finely chopped garlic, green chilies, and whole spices like cumin seeds and bay leaves. Saute until the garlic turns golden and aromatic. Then, add the marinated prawns to the pan and stir-fry them on medium-high heat until they turn pink and are cooked through. Sprinkle in more red chili powder, garam masala, and salt to taste, and stir well to coat the prawns with the spices. Cook for an additional 2-3 minutes to allow the flavors to meld. Garnish with fresh coriander leaves and serve hot with rice or roti.",29.5,29,19,Vanilla Ice Cream
"Cauliflower, Tomatoes, Onion, Spices",Gobi Masala Curry,35,North Indian,"Start by cutting the cauliflower into florets and blanching them in hot water with a pinch of salt for 5 minutes. In a pan, heat some oil and add cumin seeds, bay leaves, and cardamom for tempering. Once they splutter, add finely chopped onions and saute until golden brown. Then, add ginger-garlic paste, followed by chopped tomatoes, and cook until the tomatoes soften and release oil. Add spices like turmeric, red chili powder, coriander powder, and garam masala, and mix well. Add the blanched cauliflower florets, stirring to coat them with the spices. Pour in a little water to create a curry base, cover, and let it simmer for 15-20 minutes until the cauliflower is tender. Season with salt and garnish with fresh coriander leaves before serving. Enjoy it with rice or roti.",16.9,35,14,Gulab Jamun
"Cauliflower, Tomatoes, Onion, Spices",Spicy Cauliflower Fry,30,South Indian,"Start by cutting the cauliflower into small florets and blanching them in boiling water with a pinch of salt for 5 minutes. In a pan, heat some oil and add mustard seeds, cumin seeds, and dried red chilies for tempering. Once they splutter, add finely chopped onions and saute until golden brown. Add ginger-garlic paste and cook for a minute, then add chopped tomatoes and cook until they soften. Sprinkle in spices like turmeric, red chili powder, coriander powder, and salt to taste, and stir well. Add the blanched cauliflower florets to the pan and saute for about 10-12 minutes until the cauliflower becomes golden and crispy. Toss everything together, adjust seasoning if needed, and garnish with fresh coriander leaves. Serve hot as a side dish with rice or roti.",8.4,23,14,Sweet Lassi
"Fish, Tomatoes, Mustard Seeds, Spices",Bengali Fish Curry,45,Bengali,"Marinate prawns with turmeric, chili powder, salt; heat oil, fry garlic, red chilies, onions; add tomatoes, turmeric, chili powder, salt, coconut milk; simmer with prawns.",27,38,8,Gulab Jamun
"Fish, Tomatoes, Mustard Seeds, Spices",Mustard Fish Masala,50,Assamese,"Begin by cleaning and cutting the fish into pieces. Marinate the fish with turmeric, salt, and a bit of mustard oil for 15-20 minutes. In a pan, heat mustard oil and add mustard seeds. Once they splutter, add finely chopped onions and saute until golden brown. Add ginger-garlic paste and cook for a minute, then add chopped tomatoes. Cook the tomatoes until they soften. Now, add spices like red chili powder, turmeric, coriander powder, and garam masala, and mix well. Add a little water to make a gravy, and bring it to a simmer. Gently add the marinated fish pieces to the pan, cover, and cook for about 10-15 minutes until the fish is cooked through. Adjust seasoning and garnish with fresh coriander leaves. Serve hot with rice or roti.",14.7,37,9,Gulab Jamun
"Jackfruit, Tomatoes, Onion, Spices",Jackfruit Masala Curry,50,South Indian,"Start by peeling and chopping the jackfruit into small cubes. In a pan, heat some oil and add cumin seeds, bay leaves, and cinnamon for tempering. Once they splutter, add finely chopped onions and saute until golden brown. Add ginger-garlic paste and cook for a minute, then add chopped tomatoes. Cook until the tomatoes soften and release their juices. Sprinkle in spices like turmeric, red chili powder, coriander powder, garam masala, and salt to taste, and stir well. Add the jackfruit cubes and mix them with the spices. Pour in some water and cook on low heat for about 20-25 minutes, until the jackfruit becomes tender and the curry thickens. Garnish with fresh coriander leaves and serve with rice or roti.",10.3,35,11,Gulab Jamun
"Jackfruit, Tomatoes, Onion, Spices",Spicy Jackfruit Stir-fry,40,North Indian,"Start by peeling and chopping the jackfruit into small pieces. In a pan, heat some oil and add mustard seeds, cumin seeds, and dried red chilies for tempering. Once they splutter, add finely chopped onions and saute until golden brown. Add ginger-garlic paste and cook for a minute, then add chopped tomatoes. Cook until the tomatoes soften. Sprinkle in spices like turmeric, red chili powder, garam masala, and salt to taste, and mix well. Add the chopped jackfruit and stir-fry on medium heat for about 10-15 minutes, allowing it to cook until slightly crispy and well-coated with spices. Adjust seasoning if needed and garnish with fresh coriander leaves before serving. Enjoy it with rice or roti.",14.4,22,11,Vanilla Ice Cream
"Pork, Tamarind, Ginger, Garlic, Spices",Pork Vindaloo,70,Goan,"Start by marinating the pork pieces with a paste made of ginger, garlic, red chili powder, turmeric, and vinegar. Let it marinate for at least 30 minutes. In a pan, heat some oil and add mustard seeds, cumin seeds, and cinnamon for tempering. Once they splutter, add finely chopped onions and saute until golden brown. Add the marinated pork to the pan and cook for a few minutes until it browns slightly. Now, add chopped tomatoes, tamarind paste, and a blend of spices like garam masala, coriander powder, and salt. Cook until the tomatoes soften and the pork absorbs the flavors. Add water, cover, and simmer for about 45 minutes to 1 hour, until the pork is tender. Adjust seasoning as needed and serve hot with rice or bread.",16.4,25,6,Fruit Juice
"Pork, Tamarind, Ginger, Garlic, Spices",Spicy Pork Masala,65,South Indian,"Start by cutting the pork into bite-sized pieces. In a bowl, marinate the pork with ginger-garlic paste, turmeric, red chili powder, and salt for at least 30 minutes. Heat oil in a pan and add whole spices like cumin seeds, bay leaves, and cinnamon. Once they release their aroma, add finely chopped onions and saute until golden brown. Add the marinated pork and sear it on high heat for a few minutes until it browns. Then, add chopped tomatoes and tamarind paste, mixing well. Sprinkle in coriander powder, garam masala, and more chili powder if needed. Pour in some water, cover, and let it simmer for about 45 minutes to 1 hour, stirring occasionally until the pork is tender and the masala thickens. Garnish with fresh coriander leaves and serve hot with rice or roti.",3.4,36,9,Vanilla Ice Cream
"Okra, Tomatoes, Onion, Spices",Bhindi Masala,30,North Indian," Start by washing and drying the okra (bhindi) thoroughly, then chop it into small pieces. In a pan, heat some oil and saute the chopped okra on medium heat until it's slightly crispy, then set it aside. In the same pan, heat more oil and add cumin seeds. Once they splutter, add finely chopped onions and saute until golden brown. Add ginger-garlic paste and cook for a minute, then add chopped tomatoes and cook until they soften. Sprinkle in spices like turmeric, red chili powder, coriander powder, garam masala, and salt, and mix well. Add the Sauteed okra back to the pan, stir everything together, and cook for another 5-7 minutes until well combined. Garnish with fresh coriander leaves and serve hot with rice or roti.",15.3,38,8,Vanilla Ice Cream
"Okra, Tomatoes, Onion, Spices",Spicy Okra Fry,25,South Indian,"Heat oil, splutter mustard seeds, curry leaves, red chilies; add chopped okra, turmeric, chili powder, salt; fry till crispy.",23.6,26,11,Gulab Jamun
"Beetroot, Coconut, Mustard Seeds, Spices",Beetroot Coconut Curry,30,South Indian,"Start by peeling and grating or finely chopping the beetroot. In a pan, heat some oil and add mustard seeds. Once they splutter, add finely chopped onions and saute until soft. Add ginger-garlic paste and cook for a minute, then add the grated beetroot and stir well. Sprinkle in spices like turmeric, red chili powder, coriander powder, and salt, and mix everything together. Pour in a little water, cover, and let it cook for 10-15 minutes until the beetroot becomes tender. Finally, add freshly grated coconut, mix well, and let it cook for another 2-3 minutes. Adjust seasoning if needed and garnish with fresh coriander leaves.",5.4,36,10,Vanilla Ice Cream
"Beetroot, Coconut, Mustard Seeds, Spices",Spicy Beetroot Masala,35,Bengali,"Start by peeling and grating or finely chopping the beetroot. Heat oil in a pan and add mustard seeds. Once they splutter, add finely chopped onions and saute until golden brown. Add ginger-garlic paste and cook for a minute, then add chopped green chilies. Now, add the grated beetroot and mix well. Sprinkle in spices like turmeric, red chili powder, coriander powder, and salt, and stir to coat the beetroot evenly. Cover and cook on low heat for about 10-12 minutes until the beetroot softens. Add freshly grated coconut, mix well, and cook for another 2-3 minutes. Adjust seasoning as needed and garnish with fresh coriander leaves. Serve hot with rice or roti.",23.4,34,10,Gulab Jamun
"Mutton, Tomatoes, Onion, Ginger, Garlic",Mutton Rogan Josh,80,Kashmiri,"Start by heating oil or ghee in a pan and adding whole spices like bay leaves, cinnamon, cloves, and cardamom. Once aromatic, add finely chopped onions and saute until golden brown. Add ginger-garlic paste and cook until the raw smell disappears. Now, add mutton pieces and sear them on high heat until browned. Add chopped tomatoes and cook until they turn soft. Sprinkle in spices like turmeric, red chili powder, coriander powder, and garam masala, and mix well. Pour in enough water to cover the mutton, cover the pan, and let it simmer for about 1.5 to 2 hours until the meat is tender and the curry thickens. Adjust seasoning and garnish with fresh coriander leaves.",29.1,27,4,Soft Drink
"Mutton, Tomatoes, Onion, Ginger, Garlic",Spicy Mutton Pepper Fry,65,Tamil Nadu,"Marinate mutton with turmeric, salt; cook till tender; heat oil, saute onions, garlic, curry leaves, pepper, chili powder; add mutton, stir-fry.",19.7,17,12,Mango Lassi
"Drumstick, Coconut, Tamarind, Spices",Drumstick Curry,40,South Indian,"Start by cutting the drumsticks into 2-inch pieces. In a pan, heat oil and add mustard seeds, cumin seeds, and curry leaves. Once they splutter, add finely chopped onions and saute until golden brown. Add turmeric, red chili powder, coriander powder, and salt, then mix well. Now, add chopped drumstick pieces and stir-fry for a couple of minutes. Pour in tamarind extract and enough water to cook the drumsticks. Cover and let it simmer for about 10-12 minutes until the drumsticks turn soft. Finally, add freshly grated coconut, mix well, and cook for another 2 minutes. Adjust seasoning as needed and serve hot with rice or roti.",15.7,30,14,Gulab Jamun
"Drumstick, Coconut, Tamarind, Spices",Drumstick Masala Fry,30,Maharashtrian,"Boil drumsticks; heat oil, splutter mustard seeds, curry leaves, onions, garlic; add boiled drumsticks, turmeric, chili powder, salt; fry till dry.",28.1,32,13,Gulab Jamun
"Crab, Coconut Milk, Curry Leaves, Spices",Crab Masala Curry,55,Goan,"Start by cleaning the crab thoroughly and setting it aside. Heat oil in a pan, add curry leaves, and let them crackle. Then, add the available spices like turmeric, red chili powder, and salt, stirring well. Pour in the coconut milk and let it simmer for a few minutes to enhance the flavors. Now, add the cleaned crab and mix well so it gets coated in the masala. Cover and cook on low heat for about 15-20 minutes, allowing the crab to absorb the flavors while stirring occasionally. Once the crab is fully cooked and the gravy thickens, turn off the heat. Serve hot with rice or roti for a delicious and aromatic seafood delight.",4.3,32,14,Gulab Jamun
"Crab, Coconut Milk, Curry Leaves, Spices",Spicy Crab Fry,50,Kerala,"Start by cleaning the crab thoroughly and cutting it into pieces. Heat oil in a pan, add curry leaves, and let them splutter for aroma. Then, add the available spices like turmeric, red chili powder, salt, and any other spices you have, stirring well to release the flavors. Now, add the cleaned crab and stir-fry on medium heat for a few minutes until it starts absorbing the spices. Pour in a little coconut milk and mix well, allowing the crab to cook in the masala. Keep frying on low heat until the moisture reduces and the masala coats the crab well, turning slightly crispy. Once done, serve hot with rice or enjoy it as a spicy seafood dish!",28.7,26,19,Vanilla Ice Cream
"Cabbage, Green Peas, Tomatoes, Spices",Cabbage Peas Masala,30,North Indian,"Heat oil in a pan and add the available spices like turmeric, red chili powder, and salt, stirring for a few seconds. Add chopped tomatoes and cook until they turn soft and mushy. Then, add shredded cabbage and green peas, mixing well to coat them with the masala. Stir-fry on medium heat for a few minutes, then cover and cook on low heat for about 10-12 minutes, stirring occasionally until the cabbage becomes tender and the peas are cooked. Once done, serve hot with rice or roti for a simple and flavorful dish.",4.9,33,10,Vanilla Ice Cream
"Cabbage, Green Peas, Tomatoes, Spices",Spicy Stir-fried Cabbage,25,South Indian,"Heat oil, splutter mustard seeds, curry leaves, red chilies; add cabbage, turmeric, chili powder, salt; stir-fry till tender.",26.2,22,3,Gulab Jamun
"Turkey, Onion, Tomatoes, Ginger, Garlic",Turkey Masala Curry,60,Mughlai,"Heat oil, saute onions, ginger-garlic paste, tomatoes; add turkey, turmeric, chili powder, garam masala, water; simmer until turkey is tender.",20.5,39,9,Sweet Lassi
"Turkey, Onion, Tomatoes, Ginger, Garlic",Spicy Turkey Pepper Fry,50,South Indian,"Marinate turkey with turmeric, salt; cook until tender; heat oil, saute onions, garlic, curry leaves, pepper, chili powder; stir-fry turkey.",10,15,11,Vanilla Ice Cream
"Radish, Tomatoes, Onion, Garlic, Spices",Mooli Curry,35,North Indian,"Heat oil, saute onions, tomatoes, garlic; add radish, turmeric, chili powder, cumin, water; simmer until radish softens.",21.9,38,12,Mango Lassi
"Radish, Tomatoes, Onion, Garlic, Spices",Spicy Radish Fry,25,Bengali,"Wash and slice radishes into thin rounds. Heat oil in a pan, add mustard seeds, cumin, and curry leaves. Once they splutter, add chopped onions and saute until golden brown. Add sliced radish, turmeric, red chili powder, and salt. Stir-fry on medium heat until radish turns tender and slightly crispy. Garnish with chopped coriander leaves and serve hot.",14.8,17,13,Gulab Jamun
"Squid, Tamarind, Garlic, Spices",Tamarind Squid Curry,45,Tamil Nadu,"Clean and slice squid into rings. Soak tamarind in warm water and extract the pulp. Heat oil, add mustard seeds, garlic, and onions, and saute until onions are translucent. Add tomatoes, green chilies, turmeric, red chili powder, coriander powder, and salt. Stir well, then add squid and cook for a few minutes. Pour in tamarind extract and let it simmer until the squid is tender and the curry thickens. Serve with steamed rice.",15.3,37,10,Vanilla Ice Cream
"Squid, Tamarind, Garlic, Spices",Spicy Squid Masala,40,Goan,"Clean and cut squid into bite-sized pieces. Heat oil in a pan, add mustard seeds, fennel seeds, chopped onions, ginger-garlic paste, and saute until golden brown. Add turmeric, red chili powder, garam masala, and salt. Stir well and add chopped tomatoes. Cook until soft, then add squid and stir-fry until fully cooked. Garnish with curry leaves and serve hot.",7.5,33,11,Sweet Lassi
"Broccoli, Tomatoes, Onion, Spices",Broccoli Tomatoes Curry,30,North Indian,"Cut broccoli into florets and blanch them in hot water. Heat oil, add cumin seeds, and saute onions until golden brown. Add chopped tomatoes, turmeric, red chili powder, and coriander powder. Cook until tomatoes turn mushy, then add blanched broccoli and mix well. Simmer for a few minutes, garnish with coriander leaves, and serve.",28.1,26,13,Sweet Lassi
"Broccoli, Tomatoes, Onion, Spices",Spicy Broccoli Stir-fry,25,South Indian,"Cut broccoli into small florets. Heat oil in a pan, add mustard seeds, garlic, and green chilies. Add sliced onions and saute until translucent. Toss in the broccoli along with turmeric, salt, and red chili powder. Stir-fry on high heat until slightly charred and tender. Serve hot.",11.8,19,15,Sweet Lassi
"Gooseberry (Amla), Tomatoes, Spices",Amla Masala Curry,30,South Indian,"Cut amla into small pieces, remove seeds. Heat oil in a pan, add mustard seeds, cumin, and curry leaves. Saute onions until golden, then add tomatoes and cook until soft. Add turmeric, red chili powder, coriander powder, and garam masala. Stir well, add amla, and cook until tender. Add water and simmer until the curry thickens. Serve with rice.",26.7,30,9,Mango Lassi
"Gooseberry (Amla), Tomatoes, Spices",Tangy Amla Fry,25,North Indian,"Cut amla into thin slices. Heat oil, add mustard seeds, green chilies, and curry leaves. Add sliced amla, turmeric, salt, and red chili powder. Stir-fry until the amla is slightly caramelized and tender. Serve as a side dish.",9.8,17,19,Mango Juice
"Rabbit, Garlic, Tomatoes, Ginger, Spices",Spicy Rabbit Curry,60,South Indian,"Cut rabbit meat into small pieces. Heat oil, add whole spices like bay leaves, cinnamon, and cardamom. Add chopped onions and saute until golden. Add ginger-garlic paste and cook for a minute. Add tomatoes, turmeric, red chili powder, and coriander powder. Cook until tomatoes soften, then add rabbit meat. Stir-fry for a few minutes, add water, and cook until the meat is tender. Finish with garam masala and coriander leaves.",4.3,36,14,Mango Lassi
"Rabbit, Garlic, Tomatoes, Ginger, Spices",Rabbit Pepper Fry,55,Tamil Nadu,"Marinate rabbit meat with turmeric, salt, and black pepper. Heat oil, add mustard seeds, curry leaves, and chopped garlic. Saute onions until golden, then add marinated rabbit meat. Stir-fry until well-cooked and slightly crispy. Garnish with more black pepper and serve.",16.7,16,19,Mango Juice
"Bottle Gourd, Lentils, Tomatoes, Spices",Lauki Dal Curry,40,North Indian,"Peel and cut lauki (bottle gourd) into small cubes. Pressure cook toor dal with turmeric until soft. Heat oil, add mustard seeds, green chilies, and onions. Saute until golden, then add chopped tomatoes, red chili powder, and coriander powder. Add boiled dal and lauki. Mix well, simmer, and serve with rice.",6,34,10,Sweet Lassi
"Bottle Gourd, Lentils, Tomatoes, Spices",Spicy Bottle Gourd Masala,35,South Indian,"Peel and dice bottle gourd. Heat oil, add mustard seeds, cumin, onions, and garlic. Saute until golden. Add tomatoes, turmeric, red chili powder, and garam masala. Stir well and add bottle gourd. Cook until soft, garnish with coriander leaves, and serve.",22.6,32,8,Vanilla Ice Cream
"Cauliflower, Peas, Tomatoes, Onion, Spices",Gobi Matar Curry,35,North Indian,"Cut pork into bite-sized pieces. Marinate with vinegar, turmeric, red chili powder, and salt. Heat oil, add chopped onions and cook until golden. Add garlic, ginger, and ground spices (coriander, cumin, and garam masala). Stir well and add marinated pork. Cook until browned, then add water and simmer until tender. Serve with rice or bread.",21,34,8,Gulab Jamun
"Cauliflower, Peas, Tomatoes, Onion, Spices",Spicy Cauliflower Fry,30,South Indian,"Heat oil, splutter mustard seeds, curry leaves, onions; add cauliflower, turmeric, chili powder, salt; fry until crispy and cooked.",19.5,28,15,Mango Lassi
"Pork, Tomatoes, Garlic, Vinegar, Spices",Pork Vindaloo,70,Goan,"Cut pork into bite-sized pieces. Marinate with vinegar, turmeric, red chili powder, and salt. Heat oil, add chopped onions and cook until golden. Add garlic, ginger, and ground spices (coriander, cumin, and garam masala). Stir well and add marinated pork. Cook until browned, then add water and simmer until tender. Serve with rice or bread.",16,18,6,Soft Drink
"Pork, Tomatoes, Garlic, Vinegar, Spices",Spicy Pork Masala,65,Coorgi,"Cut cauliflower into florets. Blanch in hot water. Heat oil, add mustard seeds, curry leaves, and chopped garlic. Saute onions, then add turmeric, salt, red chili powder, and coriander powder. Add cauliflower and stir-fry on high heat until slightly crispy. Serve hot.",6.4,38,12,Vanilla Ice Cream
"Green Beans, Potato, Coconut, Spices",Green Beans Potato Masala,30,South Indian,"Chop green beans and potatoes. Heat oil, add mustard seeds, curry leaves, and chopped onions. Saute until soft, then add potatoes, turmeric, red chili powder, and salt. Stir-fry for a few minutes, add green beans, and cook until tender. Serve as a side dish.",5.2,42,12,Gulab Jamun
"Green Beans, Potato, Coconut, Spices",Spicy Beans Potato Fry,25,Maharashtrian,"Heat oil, add cumin seeds and onions. Saute until golden, then add ginger-garlic paste, chopped tomatoes, turmeric, red chili powder, and garam masala. Add cauliflower florets and green peas. Stir well, add water, and simmer until vegetables are cooked. Serve with rice or roti.",5.2,52,17,Mango Lassi
"Duck, Coconut Milk, Ginger, Spices",Duck Coconut Curry,60,Kerala,"Clean and cut duck into pieces. Heat oil, add whole spices, onions, and ginger-garlic paste. Saute well, then add tomatoes, turmeric, red chili powder, and coriander powder. Stir in duck pieces and cook for a few minutes. Add coconut milk and simmer until duck is tender. Serve hot.",3.7,39,11,Gulab Jamun
"Duck, Coconut Milk, Ginger, Spices",Spicy Duck Masala,55,Mughlai,"Marinate duck pieces with turmeric, salt, and red chili powder. Heat oil, add mustard seeds, curry leaves, and chopped onions. Saute well, then add tomatoes and cook until soft. Add duck pieces and cook until tender. Garnish with coriander leaves and serve.",28.1,38,13,Sweet Lassi
"Turnip, Tomatoes, Onion, Ginger, Spices",Shalgam Curry,40,Punjabi,"Peel and chop turnips. Heat oil, add cumin seeds, chopped onions, and tomatoes. Add turmeric, red chili powder, and coriander powder. Stir well and add chopped turnips. Cook until soft, garnish with coriander, and serve.",15.5,35,8,Sweet Lassi
"Turnip, Tomatoes, Onion, Ginger, Spices",Spicy Turnip Stir-fry,30,North Indian," Slice turnips thinly. Heat oil, add mustard seeds, curry leaves, and chopped garlic. Add turnips, turmeric, salt, and red chili powder. Stir-fry until slightly crispy. Serve as a side dish.",25.7,15,18,Gulab Jamun
"Squash, Tomatoes, Coconut, Spices",Squash Coconut Curry,35,South Indian,"Heat oil, saute onions, tomatoes, garlic, add squash, turmeric, chili powder, coriander powder, pour coconut milk, simmer until soft.",18.3,33,10,Mango Lassi
"Squash, Tomatoes, Coconut, Spices",Spicy Squash Fry,30,Bengali,"Heat oil, splutter mustard seeds, curry leaves, add squash cubes, turmeric, chili powder, salt, stir-fry until tender and crispy.",7.7,26,15,Sweet Lassi
"Lamb, Yogurt, Ginger, Garlic, Spices",Lamb Yakhni,80,Kashmiri,"Boil lamb with yogurt, whole spices (cardamom, cloves, cinnamon), ginger, heat ghee, add lamb, broth, fennel powder, dry ginger powder, salt, simmer.",21.2,28,5,Kulfi
"Lamb, Yogurt, Ginger, Garlic, Spices",Spicy Lamb Rogan Masala,75,Mughlai,"Heat oil, fry spices (bay leaf, cinnamon, cloves), onions, ginger-garlic paste, add lamb, turmeric, chili powder, coriander powder, tomatoes, cook till tender, finish with garam masala.",10.8,35,14,Sweet Lassi
"Mushroom, Spinach, Tomatoes, Spices",Mushroom Spinach Curry,40,North Indian,"Heat oil, saute onions, tomatoes, garlic, add mushrooms, turmeric, chili powder, coriander powder, add spinach, cook until wilted.",24.1,31,9,Gulab Jamun
"Mushroom, Spinach, Tomatoes, Spices",Spicy Mushroom Fry,30,South Indian,"Heat oil, splutter mustard seeds, curry leaves, add mushrooms, turmeric, chili powder, salt, stir-fry till mushrooms are crispy.",11.8,28,15,Gulab Jamun
"Prawns, Tamarind, Garlic, Coconut Milk",Tamarind Prawn Curry,50,Tamil Nadu,"Marinate prawns with turmeric, salt, heat oil, fry onions, garlic, tomatoes, add tamarind pulp, chili powder, turmeric, add prawns, simmer till cooked.",26.7,39,11,Sweet Lassi
"Prawns, Tamarind, Garlic, Coconut Milk",Spicy Prawn Masala Fry,45,Goan,"Marinate prawns with turmeric, chili powder, salt, heat oil, saute garlic, curry leaves, onions, add prawns, stir-fry till golden.",29.8,36,16,Gulab Jamun
"Zucchini, Onion, Garlic, Spices",Zucchini Masala Curry,30,North Indian,"Heat oil, saute cumin, onions, tomatoes, ginger-garlic paste, add zucchini, turmeric, chili powder, coriander powder, cook till tender.",26.3,39,13,Vanilla Ice Cream
"Zucchini, Onion, Garlic, Spices",Spicy Zucchini Fry,25,South Indian,"Heat oil, splutter mustard seeds, red chilies, add zucchini, turmeric, chili powder, salt, stir-fry till crispy.",20.4,17,11,Vanilla Ice Cream
